id,post_id,user_id,view_time_seconds,like_time_seconds,inspiration_time_seconds,rating_percent,rated_posts_time_seconds,slug,title,identifier,username
38,84.0,31,0.0,78382.0,0.0,0.0,0.0,meditate,meditate🧘‍♂️,UeFcjDi,000546.ecffafac6b704e3eae3a44839033d230.1601
38,161.0,1,0.0,0.0,50048.0,0.0,0.0,meditate,meditate🧘‍♂️,UeFcjDi,000546.ecffafac6b704e3eae3a44839033d230.1601
38,560.0,5,0.0,0.0,0.0,60.0,40551.0,meditate,meditate🧘‍♂️,UeFcjDi,000546.ecffafac6b704e3eae3a44839033d230.1601
39,63.0,44,67198.0,0.0,0.0,0.0,0.0,take-the-holy-vible-pill,take the holy vible pill :),hz-SaH5,swapnil
39,161.0,5,0.0,11706.0,0.0,0.0,0.0,take-the-holy-vible-pill,take the holy vible pill :),hz-SaH5,swapnil
39,163.0,1,0.0,0.0,50057.0,0.0,0.0,take-the-holy-vible-pill,take the holy vible pill :),hz-SaH5,swapnil
39,31.0,5,0.0,0.0,0.0,65.0,40632.0,take-the-holy-vible-pill,take the holy vible pill :),hz-SaH5,swapnil
40,151.0,47,68525.0,0.0,0.0,0.0,0.0,trials-to-test-you,trials to test you...,LDq-waR,001461.5bcb267016d7471082d9010e18b9782b.0042
40,164.0,1,0.0,0.0,50060.0,0.0,0.0,trials-to-test-you,trials to test you...,LDq-waR,001461.5bcb267016d7471082d9010e18b9782b.0042
40,551.0,9,0.0,0.0,0.0,36.0,63662.0,trials-to-test-you,trials to test you...,LDq-waR,001461.5bcb267016d7471082d9010e18b9782b.0042
41,161.0,47,68539.0,0.0,0.0,0.0,0.0,0,0,0,0
41,151.0,18,0.0,0.0,35271.0,0.0,0.0,0,0,0,0
41,159.0,9,0.0,0.0,0.0,60.0,66192.0,0,0,0,0
42,415.0,47,68554.0,0.0,0.0,0.0,0.0,0,0,0,0
42,190.0,18,0.0,2058.0,0.0,0.0,0.0,0,0,0,0
42,588.0,118,0.0,0.0,70127.0,0.0,0.0,0,0,0,0
42,143.0,9,0.0,0.0,0.0,74.0,66713.0,0,0,0,0
43,583.0,118,70102.0,0.0,0.0,0.0,0.0,why-are-you-here,why are you here?,G7fiCPQ,000011.c33f3c2b12f14bf39a63284a6fea5ad7.1330
43,189.0,18,0.0,2111.0,0.0,0.0,0.0,why-are-you-here,why are you here?,G7fiCPQ,000011.c33f3c2b12f14bf39a63284a6fea5ad7.1330
43,512.0,47,0.0,0.0,78167.0,0.0,0.0,why-are-you-here,why are you here?,G7fiCPQ,000011.c33f3c2b12f14bf39a63284a6fea5ad7.1330
43,154.0,9,0.0,0.0,0.0,47.0,67508.0,why-are-you-here,why are you here?,G7fiCPQ,000011.c33f3c2b12f14bf39a63284a6fea5ad7.1330
44,556.0,118,70117.0,0.0,0.0,0.0,0.0,escape-the-matrix2,escape the matrix,eKM88YS,tarak
44,143.0,18,0.0,0.0,79051.0,0.0,0.0,escape-the-matrix2,escape the matrix,eKM88YS,tarak
44,560.0,9,0.0,0.0,0.0,79.0,40192.0,escape-the-matrix2,escape the matrix,eKM88YS,tarak
45,151.0,118,70137.0,0.0,0.0,0.0,0.0,0,0,0,0
45,190.0,5,0.0,13841.0,0.0,0.0,0.0,0,0,0,0
45,19.0,18,0.0,0.0,35717.0,0.0,0.0,0,0,0,0
47,159.0,47,78095.0,0.0,0.0,0.0,0.0,be-aware,be aware...,ZtfV2v8,BodyByRaaj
47,177.0,5,0.0,13874.0,0.0,0.0,0.0,be-aware,be aware...,ZtfV2v8,BodyByRaaj
47,154.0,18,0.0,0.0,25934.0,0.0,0.0,be-aware,be aware...,ZtfV2v8,BodyByRaaj
47,727.0,9,0.0,0.0,0.0,42.0,47455.0,be-aware,be aware...,ZtfV2v8,BodyByRaaj
48,143.0,47,78113.0,0.0,0.0,0.0,0.0,0,0,0,0
48,175.0,19,0.0,49060.0,0.0,0.0,0.0,0,0,0,0
48,551.0,18,0.0,0.0,3883.0,0.0,0.0,0,0,0,0
48,724.0,9,0.0,0.0,0.0,48.0,47510.0,0,0,0,0
49,512.0,47,78127.0,0.0,0.0,0.0,0.0,2-truths-to-set-you-free,2 truths to set you free,wUXRVBy,001909.c212cb000d3246c78b971968f1d1ddd0.1430
49,590.0,18,0.0,0.0,8129.0,0.0,0.0,2-truths-to-set-you-free,2 truths to set you free,wUXRVBy,001909.c212cb000d3246c78b971968f1d1ddd0.1430
49,722.0,9,0.0,0.0,0.0,48.0,48332.0,2-truths-to-set-you-free,2 truths to set you free,wUXRVBy,001909.c212cb000d3246c78b971968f1d1ddd0.1430
59,151.0,119,56541.0,0.0,0.0,0.0,0.0,push-through-the-pain,push through the pain 🫡,O06plAt,002025.8b952605c5154907b93a37250130e9a2.0109
59,494.0,18,0.0,0.0,21613.0,0.0,0.0,push-through-the-pain,push through the pain 🫡,O06plAt,002025.8b952605c5154907b93a37250130e9a2.0109
59,143.0,5,0.0,0.0,0.0,32.0,52412.0,push-through-the-pain,push through the pain 🫡,O06plAt,002025.8b952605c5154907b93a37250130e9a2.0109
61,629.0,119,56579.0,0.0,0.0,0.0,0.0,beff-jezos-more-energy-is-good-e-acc,Beff Jezos - More energy is Good e/acc,4rxm7I7,000819.9c3b2302f8ae4b23904bfd200d3a8d4f.1016
61,453.0,18,0.0,0.0,21833.0,0.0,0.0,beff-jezos-more-energy-is-good-e-acc,Beff Jezos - More energy is Good e/acc,4rxm7I7,000819.9c3b2302f8ae4b23904bfd200d3a8d4f.1016
61,14.0,5,0.0,0.0,0.0,60.0,55399.0,beff-jezos-more-energy-is-good-e-acc,Beff Jezos - More energy is Good e/acc,4rxm7I7,000819.9c3b2302f8ae4b23904bfd200d3a8d4f.1016
62,586.0,120,67141.0,0.0,0.0,0.0,0.0,what-is-e-acc,what is e/acc,jeB7KQI,001376.80789f535b434b03bde684bcce17548e.1547
62,438.0,18,0.0,0.0,21889.0,0.0,0.0,what-is-e-acc,what is e/acc,jeB7KQI,001376.80789f535b434b03bde684bcce17548e.1547
62,516.0,5,0.0,0.0,0.0,85.0,55399.0,what-is-e-acc,what is e/acc,jeB7KQI,001376.80789f535b434b03bde684bcce17548e.1547
63,151.0,120,67168.0,0.0,0.0,0.0,0.0,this-app-is-literally-steroids-for-your-brain,This app is literally steroids for your brain,ZK4Tddo,001927.63a47dabd2034b889c295bcc1257d2df.1558
