id,post_id,user_id,view_time_seconds,like_time_seconds,inspiration_time_seconds,rating_percent,rated_posts_time_seconds,slug,title,identifier,username,engagement_score,normalized_score,mood_score,mood
18,631.0,114,26455.0,0.0,0.0,0.0,0.0,0,0,0,0,7936.7,0.30688119156439225,0.0,Negative
18,64.0,18,0.0,63123.0,0.0,0.0,0.0,0,0,0,0,18937.1,0.7322344152379184,0.0,Negative
18,469.0,1,0.0,0.0,36636.0,0.0,0.0,0,0,0,0,0.2,0.0,0.0,Negative
18,517.0,1,0.0,0.0,0.0,82.0,63771.0,0,0,0,0,12754.400000000001,0.49316752894230104,0.0,Negative
19,626.0,114,26478.0,0.0,0.0,0.0,0.0,we-are-made-of-stars,WE ARE MADE OF STARS,ATg3vKN,johntest,7943.599999999999,0.30714799433914114,0.0,Negative
19,62.0,18,0.0,63124.0,0.0,0.0,0.0,we-are-made-of-stars,WE ARE MADE OF STARS,ATg3vKN,johntest,18937.4,0.7322460153585598,0.0,Negative
19,546.0,1,0.0,0.0,37423.0,0.0,0.0,we-are-made-of-stars,WE ARE MADE OF STARS,ATg3vKN,johntest,0.2,0.0,0.0,Negative
19,161.0,1,0.0,0.0,0.0,59.0,63977.0,we-are-made-of-stars,WE ARE MADE OF STARS,ATg3vKN,johntest,12795.600000000002,0.4947606121770334,0.0,Negative
20,571.0,114,26522.0,0.0,0.0,0.0,0.0,0,0,0,0,7956.799999999999,0.3076583996473563,0.0,Negative
20,63.0,18,0.0,63124.0,0.0,0.0,0.0,0,0,0,0,18937.4,0.7322460153585598,0.0,Negative
20,540.0,1,0.0,0.0,37430.0,0.0,0.0,0,0,0,0,0.2,0.0,0.0,Negative
20,633.0,18,0.0,0.0,0.0,21.0,82014.0,0,0,0,0,16403.0,0.6342481961812403,0.0,Negative
22,558.0,116,45227.0,0.0,0.0,0.0,0.0,0,0,0,0,13568.300000000001,0.524638656242025,0.0,Negative
22,65.0,18,0.0,63188.0,0.0,0.0,0.0,0,0,0,0,18956.6,0.7329884230796,0.0,Negative
22,570.0,1,0.0,0.0,56742.0,0.0,0.0,0,0,0,0,0.2,0.0,0.0,Negative
22,35.0,18,0.0,0.0,0.0,22.0,65401.0,0,0,0,0,13080.400000000001,0.5057729933724645,0.0,Negative
23,551.0,116,45235.0,0.0,0.0,0.0,0.0,direct-your-energy-on-the-right-things,Direct your energy on the right things,4kR81rP,SachinKinha,13570.7,0.524731457207155,0.0,Negative
23,66.0,1,0.0,4961.0,0.0,0.0,0.0,direct-your-energy-on-the-right-things,Direct your energy on the right things,4kR81rP,SachinKinha,1488.5,0.057548198501264414,0.0,Negative
23,14.0,1,0.0,0.0,49852.0,0.0,0.0,direct-your-energy-on-the-right-things,Direct your energy on the right things,4kR81rP,SachinKinha,0.2,0.0,0.0,Negative
23,36.0,18,0.0,0.0,0.0,12.0,65408.0,direct-your-energy-on-the-right-things,Direct your energy on the right things,4kR81rP,SachinKinha,13081.800000000001,0.5058271272687903,0.0,Negative
24,560.0,116,45246.0,0.0,0.0,0.0,0.0,0,0,0,0,13574.0,0.5248590585342088,0.0,Negative
